사업자등록번호,데이터수집일자,조사년도,분석기업매출액,산업평균매출액,분석기업매출액증감률,산업평균매출액증감률,기업연구개발액,평균연구개발액,기업연구개발액증감률,평균연구개발액증감률,기업특허실용신안출원건수,평균특허실용신안출원건수,기업특허실용신안생산력금액,평균특허실용신안생산력금액
1058673549,20220317,2017,355116,,12.99,7,,10468.07,,11,,,, 
1058315136,20220317,2017,,,,6,,144.84,,43,,,, 
1058606002,20220317,2020,,,,8,,,,,,,, 
1058729749,20220317,2021,,,,,,,,,,,, 
1058270490,20220317,2021,,,,,,,,,,,, 
1058500001,20220317,2017,32327045,,34.59,22,,10468.07,,11,,,, 
1052081854,20220317,2019,,72468.79,,12,,666.05,,14,,,, 
1058215935,20220317,2017,158651,,19.02,7,,10468.07,,11,,,, 
1058645757,20220317,2019,,,,10,,796.34,,7,,,, 
1058214483,20220317,2020,,,,8,,,,,,,, 
1058271922,20220317,2018,,,,,,,,,,,, 
1052383061,20220317,2017,,,,29,,10468.07,,11,,,, 
1058522422,20220317,2017,,,,7,,10468.07,,111,,,, 
1058533837,20220317,2020,,,,7,,,,,,,, 
1058728852,20220317,2019,,,,10,,796.34,,7,,,, 
1058269275,20220317,2019,,,,,,,,,,,, 
1053591787,20220317,2019,,,,,,,,,,,, 
1058694942,20220317,2018,,,,0,,11634.01,,19,,,, 
1058220888,20220317,2019,371944,,48.2,49,,251.77,,38,,,, 
1058693453,20220317,2020,,,,5,,,,,,,, 
1058008497,20220317,2017,,,,,,,,,,,, 
1058218456,20220317,2021,,,,,,,,,,,, 
1058662926,20220317,2017,,,,10,,565.59,,40,,,, 
1058607826,20220317,2020,,,,8,,,,,,,, 
1058208884,20220317,2017,391061,,2.65,10,,57.02,,48,,,, 
1058623831,20220317,2018,,,,7,,754.82,,123,,,, 
1058668541,20220317,2019,,,,10,,796.34,,7,,,, 
1058221534,20220317,2017,1546238,,3.1,10,213061,57.02,51.23,48,,,, 
1058629970,20220317,2020,,,,5,,,,,,,, 
1058301006,20220317,2017,,,,6,,144.84,,43,,,, 
1058208619,20220317,2021,,,,,,,,,,,, 
1052116200,20220317,2017,,,,,,,,,,,, 
1058645188,20220317,2018,1050614,,0.97,7,,754.82,,35,,,, 
1058215876,20220317,2019,9790009,,15.99,11,,63.75,,7,,,, 
1058654159,20220317,2021,,,,,,,,,,,, 
1058261157,20220317,2021,,,,,,,,,,,, 
1058612810,20220317,2020,,,,2,,,,,,,, 
1052790425,20220317,2017,,,,22,,10468.07,,11,,,, 
1058716109,20220317,2019,80111,,496.55,14,,13956.81,,25,,,, 
1058690704,20220317,2021,,,,,485100,,16.41,,3,,161700.0, 
1058649146,20220317,2020,,,,1,,,,,,,, 
1058221475,20220317,2017,,,,,,,,,,,, 
1058264964,20220317,2017,,,,10,,57.02,,48,,,, 
1058301379,20220317,2018,,,,10,,186.07,,92,,,, 
1054166450,20220317,2020,,,,8,,,,,,,, 
1058262122,20220317,2019,,,,,,,,,,,, 
1058272289,20220317,2019,,,,11,,63.75,,7,,,, 
1058666150,20220317,2021,,,,,,,,,,,, 
1058300856,20220317,2019,,,,49,,251.77,,38,,,, 
1058725909,20220317,2019,,,,10,,796.34,,6,,,, 
1058525190,20220317,2020,,,,8,,,,,,,, 
1058655798,20220317,2019,,,,10,,796.34,,7,,,, 
1058687868,20220317,2021,,,,,,,,,,,, 
1058215880,20220317,2020,,,,8,,,,,,,, 
1058221096,20220317,2019,,,,11,,63.75,,7,,,, 
1058300900,20220317,2020,,,,7,,,,,,,, 
1058631888,20220317,2020,,,,5,,,,,,,, 
1052746953,20220317,2017,,70769.84,,7,,511.57,,9,,0.0,,6
1058219760,20220317,2021,,,,,,,,,,,, 
1058709966,20220317,2020,,,,14,,,,,,,, 
1058650323,20220317,2020,373260,,4.25,5,,,,,,,, 
1058217909,20220317,2020,,,,4,,,,,,,, 
1058554625,20220317,2018,,,,1,,4791.89,,1,,,, 
1058682499,20220317,2021,,,,,,,,,,,, 
1058728793,20220317,2017,1818081,,51.92,11,,565.59,,12,,,, 
1058135443,20220317,2017,,,,22,,10468.07,,11,,,, 
1058215968,20220317,2020,,,,,,,,,,,, 
1058621997,20220317,2020,1265493,,58.54,3,,,,,,,, 
1058663279,20220317,2019,,,,14,,13956.81,,25,,,, 
1058688076,20220317,2019,,,,14,,13956.81,,25,,,, 
1052222747,20220317,2021,,,,,,,,,,,, 
1058188799,20220317,2021,,,,,,,,,,,, 
1058689186,20220317,2020,,,,1,,,,,,,, 
1058209016,20220317,2020,,,,7,,,,,,,, 
1058518743,20220317,2021,,,,,,,,,,,, 
1058649414,20220317,2019,,,,10,,796.34,,6,,,, 
1058145806,20220317,2018,4492378,,41.86,7,,754.82,,123,,,, 
1058653752,20220317,2020,,,,7,,,,,,,, 
1058315024,20220317,2018,,,,6,,186.07,,30,,,, 
1053304411,20220317,2019,,,,11,,63.75,,7,,,, 
1058274685,20220317,2017,,,,,,,,,,,, 
1058614496,20220317,2017,,,,11,,10468.07,,11,,,, 
1058707269,20220317,2018,,,,7,,754.82,,123,,,, 
1058720753,20220317,2021,,,,,,,,,,,, 
1058191159,20220317,2020,303936,,38.1,8,50000,,,,,,, 
1058606526,20220317,2019,1933752,3497979.06,44.96,8,,141540.34,,4,,,, 
1058530219,20220317,2020,,,,2,,,,,,,, 
1058205698,20220317,2021,,,,,,,,,,,, 
1058614201,20220317,2021,,,,,,,,,,,, 
1058610374,20220317,2017,,,,7,,10468.07,,11,,,, 
1058725971,20220317,2017,,,,11,,10468.07,,11,,,, 
1058662299,20220317,2017,,,,7,,10468.07,,11,,,, 
1058687913,20220317,2017,,3485855.73,,10,,128764.94,,21,,0.4,,28
1058262739,20220317,2019,,,,11,,63.75,,7,,,, 
1058727891,20220317,2017,,,,22,,10468.07,,11,,,, 
1058519169,20220317,2017,,,,7,,10468.07,,11,,,, 
1058525230,20220317,2017,,,,7,,10468.07,,111,,,, 
1058668444,20220317,2020,,,,8,,,,,,,, 
1058673404,20220317,2021,,,,,,,,,,,, 
1058687290,20220317,2018,,,,17,,11634.01,,90,,,, 
1058300365,20220317,2021,,,,,,,,,,,, 
1058201480,20220317,2018,,,,17,,11634.01,,60,,,, 
1052144856,20220317,2021,,,,,,,,,,,, 
1052228417,20220317,2021,,,,,,,,,,,, 
1058723667,20220317,2019,1498901,,21.28,9,,13956.81,,52,,,, 
1058261614,20220317,2020,,,,4,,,,,,,, 
1058135439,20220317,2020,,,,1,,,,,,,, 
1052144609,20220317,2020,,,,8,,,,,,,, 
1058600920,20220317,2021,,,,,,,,,,,, 
1058627569,20220317,2018,,,,14,,11634.01,,16,1,,, 
1058676508,20220317,2018,,,,17,,11634.01,,90,,,, 
1058681812,20220317,2020,,,,3,,,,,,,, 
1058721131,20220317,2019,598762,,39.75,10,,13956.81,,205,,,, 
1058175197,20220317,2020,,,,2,,,,,,,, 
1058528367,20220317,2019,,3497979.06,,8,,141540.34,,4,,,, 
