사업자번호,최종BM점수,최종BM등급,핵심파트너최종점수 ,핵심파트너등급 ,핵심파트너점수,핵심활동최종점수,핵심활동등급,핵심활동점수  ,핵심자원 최종 점수,핵심자원등급 ,핵심자원점수 ,가치제안최종점수,가치제안등급,가치제안점수,마케팅채널최종점수,마케팅채널등급,마케팅채널점수,고객관계최종점수,고객관계등급,고객관계점수,비용구조최종점수,비용구조 등급,비용구조 점수,수익구조최종점수,수익구조 등급,수익구조 점수,고객관계최종점수,고객관계등급
2107,74,B,4,C,6,,B,10,,A,20,,A,5,,C,6,,B,4,,C,3,,D,16,,A
2108,66,B,3,D,5,,C,7,,B,20,,A,5,,C,3,,D,4,,C,3,,D,16,,A
2109,69,B,3,D,6,,B,7,,B,15,,A,8,,A,8,,A,4,,C,6,,C,12,,A
2110,58,C,3,D,6,,B,10,,A,10,,A,5,,C,5,,C,4,,C,3,,D,12,,A
2111,74,B,3,D,6,,B,7,,B,20,,A,8,,A,8,,A,1,,E,4,,C,16,,A
2112,66,B,2,D,6,,B,10,,A,10,,A,6,,B,3,,D,7,,B,6,,C,16,,A
2113,69,B,2,D,5,,C,7,,B,20,,A,8,,A,5,,C,6,,C,4,,C,12,,A
2114,72,B,2,D,5,,C,10,,A,20,,A,6,,B,6,,B,7,,B,4,,C,12,,A
2115,70,B,3,D,5,,C,10,,A,15,,A,6,,B,6,,B,7,,B,6,,C,12,,A
2116,70,B,3,D,6,,B,10,,A,15,,A,5,,C,2,,E,4,,C,6,,C,20,,A
2117,75,B,2,D,8,,A,12,,A,15,,A,3,,D,5,,C,7,,B,3,,D,20,,A
2118,71,B,3,D,8,,A,2,,D,20,,A,8,,A,8,,A,6,,C,4,,C,12,,A
2119,51,C,3,D,5,,C,7,,B,10,,A,5,,C,2,,E,7,,B,4,,C,8,,A
2120,70,B,3,D,6,,B,7,,B,15,,A,6,,B,6,,B,7,,B,3,,D,16,,A
2121,41,C,1,E,2,,E,2,,D,20,,A,2,,E,5,,C,1,,E,4,,C,4,,C
2122,65,B,1,E,5,,C,10,,A,15,,A,6,,B,8,,A,6,,C,3,,D,12,,A
2123,74,B,1,E,6,,B,7,,B,20,,A,6,,B,8,,A,6,,C,7,,B,12,,A
1225,53,C,1,E,6,,B,7,,B,15,,A,3,,D,5,,C,7,,B,4,,C,4,,C
2124,63,B,1,E,5,,C,10,,A,20,,A,3,,D,2,,E,6,,C,6,,C,12,,A
2125,66,B,1,E,6,,B,10,,A,15,,A,5,,C,6,,B,7,,B,4,,C,12,,A
2126,54,C,1,E,5,,C,5,,C,10,,A,2,,E,3,,D,7,,B,6,,C,16,,A
2127,67,B,1,E,3,,D,10,,A,20,,A,3,,D,3,,D,7,,B,4,,C,16,,A
2128,59,C,1,E,5,,C,5,,C,10,,A,6,,B,5,,C,7,,B,4,,C,16,,A
2129,68,B,4,C,2,,E,7,,B,15,,A,6,,B,6,,B,4,,C,7,,B,16,,A
2130,75,B,4,C,6,,B,10,,A,20,,A,8,,A,6,,B,4,,C,4,,C,12,,A
2131,76,B,3,D,6,,B,7,,B,20,,A,5,,C,5,,C,7,,B,7,,B,16,,A
2132,61,B,3,D,5,,C,10,,A,20,,A,3,,D,5,,C,7,,B,4,,C,4,,C
2133,69,B,4,C,6,,B,10,,A,15,,A,5,,C,6,,B,6,,C,6,,C,12,,A
2134,70,B,1,E,6,,B,12,,A,15,,A,6,,B,5,,C,6,,C,7,,B,12,,A
2135,55,C,1,E,5,,C,5,,C,10,,A,8,,A,5,,C,4,,C,6,,C,12,,A
